,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
206,The Entertainment's Here,AJR,0.646,0.626,5,-6.351,1,0.0729,0.0167,8.7e-06,0.112,0.372,83.981,187263,4
207,Epsilon - Original Mix,Kygo,0.614,0.814,9,-9.731,0,0.0515,0.296,0.382,0.0645,0.345,128.024,364818,4
208,Euphoria - Single Version,Loreen,0.562,0.783,11,-4.727,0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,181787,4
209,Everybody Hates Me,The Chainsmokers,0.471,0.755,11,-6.612,0,0.0455,0.00836,0.0,0.368,0.512,154.801,224027,4
210,Everybody Talks,Neon Trees,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
211,Excuse Me Mr Sir (feat. Vargas & Lagola),Avicii,0.464,0.672,2,-6.064,1,0.0727,0.127,0.00299,0.322,0.492,114.708,187753,3
212,Ex's & Oh's,Elle King,0.612,0.921,7,-2.882,1,0.085,0.0183,0.0,0.0576,0.446,139.988,202173,4
213,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,0.702,0.616,6,-4.903,1,0.326,0.686,0.0,0.145,0.507,80.482,156188,4
214,Faded,ZHU,0.86,0.476,9,-7.193,0,0.0487,0.00844,0.123,0.124,0.588,124.957,223485,4
215,Faded,Alan Walker,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107,4
216,Fading,Alle Farben,0.734,0.762,11,-5.254,0,0.0416,0.0201,0.0,0.12,0.674,122.065,206373,4
217,Faith,Calvin Harris,0.623,0.957,5,-2.675,1,0.0427,0.235,3.25e-05,0.398,0.535,127.968,219200,4
218,Faith,The Weeknd,0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,283227,4
219,Fake,Lauv,0.703,0.657,4,-5.363,1,0.0783,0.139,0.0,0.093,0.455,82.96,146375,4
220,Fallin' All In You,Shawn Mendes,0.853,0.476,8,-6.696,1,0.0361,0.405,0.0,0.111,0.796,92.038,235747,4
221,Falling,Trevor Daniel,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,4
222,Falling Like The Stars,James Arthur,0.3,0.347,6,-9.542,1,0.0364,0.79,2.14e-06,0.111,0.164,169.361,211653,3
223,False Alarm,Matoma,0.643,0.732,5,-6.762,0,0.0294,0.00681,4.57e-05,0.0606,0.181,102.979,224272,4
224,Familiar,Liam Payne,0.636,0.805,9,-4.594,1,0.327,0.0161,0.0,0.0793,0.908,92.958,196552,4
225,Family - Dirty Audio Remix,The Chainsmokers,0.679,0.969,11,0.035,1,0.0966,0.0588,2.27e-06,0.0709,0.575,150.051,182400,4
226,Fancy,Iggy Azalea,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,199938,4
227,Far Away,Nickelback,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,238173,4
228,Fast Car,Jonas Blue,0.672,0.578,9,-6.621,1,0.0569,0.469,0.0,0.312,0.548,113.945,212424,4
229,Fearless (feat. May-Britt Scheffer),Gromee,0.588,0.789,9,-6.396,0,0.0607,0.225,0.000101,0.255,0.546,121.924,210933,4
230,Feel Again - With Heartbeats,OneRepublic,0.465,0.828,7,-8.019,0,0.0553,0.0218,0.0,0.119,0.288,139.978,185080,4
231,Feel (feat. Sena Sener) - Radio Edit,Mahmut Orhan,0.731,0.756,1,-4.937,0,0.0436,0.038,0.162,0.157,0.723,121.004,172559,4
232,Feel It,Michele Morrone,0.652,0.369,1,-9.301,0,0.045,0.142,0.00322,0.128,0.372,155.016,159480,3
233,Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
234,Feel It Still - Ofenbach Remix,Portugal. The Man,0.89,0.775,6,-6.475,0,0.0461,0.128,3.47e-06,0.0611,0.8,125.031,175047,4
235,Feel Me,Selena Gomez,0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.392,99.989,226003,4
236,Feel Right Now (feat. Nonô),Parx,0.677,0.868,8,-5.073,0,0.0322,0.0338,0.000176,0.078,0.782,123.987,150117,4
237,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,223413,4
238,Feels Like Forever,Kygo,0.643,0.719,1,-5.535,1,0.11,0.414,0.0,0.0744,0.394,119.973,217247,4
239,Feels Like Home (feat. Kent Jones),Sigala,0.749,0.907,6,-3.168,1,0.0638,0.141,0.0,0.108,0.68,124.958,219080,4
240,Feel So Close - Radio Edit,Calvin Harris,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
241,Feel the Love (feat. John Newman),Rudimental,0.389,0.706,1,-6.849,1,0.0593,0.0026,0.000182,0.686,0.238,179.911,245187,4
242,Feel This Moment (feat. Christina Aguilera),Pitbull,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4
243,F For You,Disclosure,0.751,0.812,3,-7.4,0,0.0707,0.00731,0.0298,0.11,0.224,123.998,269947,4
244,Fiction (feat. Tom Odell),Kygo,0.72,0.795,5,-5.523,1,0.0332,0.0247,0.00194,0.116,0.429,110.038,243947,4
245,Fight Song,Rachel Platten,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,204013,4
246,Figure It Out,Jovani,0.671,0.784,9,-3.767,1,0.0335,0.14,0.0,0.164,0.484,100.029,216750,4
247,Finale (Can't Wait To See What You Do Next),AJR,0.539,0.517,5,-6.999,1,0.0272,0.0956,0.0,0.111,0.408,82.987,277711,4
248,Final Song,MØ,0.695,0.672,1,-6.109,0,0.0345,0.014,8.44e-05,0.0756,0.245,104.988,235827,4
249,Find Me - Radio Edit,ALLEGRØ,0.709,0.73,11,-3.661,0,0.0336,0.134,8.99e-06,0.287,0.667,124.997,180960,4
250,Find My Way,Jack Be,0.629,0.713,4,-5.894,0,0.0417,0.417,0.00453,0.59,0.214,107.973,194300,4
251,Fire In My Head,C-BooL,0.773,0.742,8,-6.18,1,0.0318,0.0659,4.14e-05,0.156,0.26,122.028,179815,4
252,Fire In My Soul - Tom Staar Remix,Oliver Heldens,0.552,0.978,6,-4.398,0,0.0519,0.00129,0.102,0.234,0.308,125.993,177271,4
253,Firestone,Kygo,0.704,0.634,11,-7.374,0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,4
254,Firework,Katy Perry,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,227893,4
255,First Time,Kygo,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,193511,4
256,Fish in the Sea,Olivia Addams,0.743,0.738,7,-5.904,0,0.0555,0.248,4.02e-05,0.229,0.539,123.918,162702,4
257,Five More Hours - Deorro x Chris Brown,Deorro,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961,211975,4
258,Flames,David Guetta,0.631,0.649,5,-5.892,0,0.0385,0.0817,3.8e-06,0.0934,0.421,93.95,194680,4
259,Flashback,Calvin Harris,0.266,0.95,9,-5.646,0,0.05,0.00212,0.000991,0.0922,0.158,127.986,227880,4
260,Fly Away,TheFatRat,0.597,0.581,1,-4.565,0,0.0366,0.59,4.38e-06,0.137,0.212,147.987,194268,4
261,Fly Away,Tones And I,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,178157,4
262,Follow,Kygo,0.63,0.826,0,-4.798,1,0.0449,0.356,6.98e-06,0.136,0.239,116.039,175326,4
263,"Fool's Gold - Recorded At RAK Studios, London",Niall Horan,0.575,0.185,6,-11.988,1,0.0337,0.938,0.0,0.107,0.594,128.074,204295,4
264,Forbidden Voices,Martin Garrix,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635,4
265,Forever,Martin Garrix,0.45,0.898,8,-3.604,0,0.0395,0.0277,0.0616,0.166,0.22,127.983,218437,4
266,Forever Summer (feat. Indiiana),Drenchill,0.751,0.839,6,-4.643,1,0.0596,0.122,0.0163,0.0833,0.467,126.025,156000,4
267,Forgive Me Friend,Smith & Thell,0.563,0.908,1,-4.428,1,0.0319,0.0388,1.53e-06,0.355,0.67,127.932,216760,4
268,For Good - Radio Edit,Foothills,0.592,0.661,10,-4.684,0,0.0327,0.416,6.74e-06,0.0885,0.303,120.007,192667,4
269,For What It's Worth (feat. Angus & Julia Stone),Kygo,0.537,0.441,9,-10.65,0,0.0821,0.782,6.34e-05,0.118,0.103,104.601,183107,1
270,For You (Fifty Shades Freed) (& Rita Ora),Various Artists,0.541,0.787,2,-4.618,0,0.0331,0.0167,0.0,0.157,0.2,113.0,245453,4
271,FourFiveSeconds,Rihanna,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,188238,4
272,Freak (feat. Bonn),Avicii,0.405,0.576,8,-6.245,1,0.171,0.225,8.08e-06,0.0822,0.695,91.204,179479,4
273,Freak - Joe Stone 2K18 Edit,R3HAB,0.666,0.855,11,-5.318,0,0.236,0.222,0.0,0.502,0.769,125.943,177143,4
274,Freaks - Radio Edit,"Timmy Trumpet, Savage",0.794,0.906,4,-5.425,1,0.11,0.00738,0.0968,0.286,0.688,128.105,168750,4
275,Freaky Friday (feat. Chris Brown),Lil Dicky,0.755,0.599,8,-5.042,1,0.224,0.147,0.0,0.109,0.755,133.123,216632,4
276,Freal Luv (feat. Chanyeol & Tinashe),Far East Movement,0.645,0.813,8,-5.934,0,0.0672,0.163,1.96e-06,0.214,0.522,145.035,190345,4
277,Freed from Desire (feat. Indiiana),Drenchill,0.789,0.758,2,-4.957,0,0.114,0.0665,0.0,0.0711,0.147,126.0,161453,4
278,Freedom,Kygo,0.511,0.635,7,-6.591,1,0.116,0.127,0.0,0.0866,0.381,111.329,198635,4
279,Fresh Eyes,Andy Grammer,0.822,0.544,0,-6.797,1,0.0332,0.562,2.4e-05,0.144,0.861,122.047,198001,4
280,Friday Night‬‬‬,Vigiland,0.732,0.668,1,-5.588,0,0.038,0.00113,2.5e-05,0.0775,0.0792,127.995,173871,4
281,Friends,Aura Dione,0.742,0.956,7,-3.695,1,0.0732,0.0208,0.0,0.0752,0.684,93.984,221947,4
282,FRIENDS,Marshmello,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,202621,4
283,Friends (with BloodPop®),Justin Bieber,0.743,0.735,8,-5.337,1,0.0382,0.00389,0.0,0.304,0.631,104.979,189467,4
284,"fuck, i'm lonely (with Anne-Marie)",5 Seconds of Summer,0.804,0.567,9,-6.445,1,0.0698,0.475,0.0,0.0679,0.695,95.002,198973,4
285,Funny,Zedd,0.664,0.66,5,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,221466,4
286,Galway Girl,Ed Sheeran,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,170827,4
287,Gam Gam,Marnik,0.475,0.914,0,-4.255,0,0.0555,0.034,0.000202,0.277,0.156,138.007,213985,4
288,GDFR (feat. Sage the Gemini & Lookas),Flo Rida,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,190186,4
289,Gecko (Overdrive) - Radio Edit,Oliver Heldens,0.609,0.885,0,-5.469,1,0.0642,0.00521,1.15e-05,0.336,0.76,124.959,165441,4
290,Geronimo,Sheppard,0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028,218228,4
291,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,4
292,Ghost Town,Adam Lambert,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,208330,4
293,Giant (with Rag'n'Bone Man),Calvin Harris,0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184,4
294,Gimme Love,Joji,0.482,0.631,5,-6.917,1,0.0986,0.696,0.0242,0.209,0.0743,126.576,214558,3
295,Girls Go Wild,LP,0.711,0.868,6,-4.363,1,0.046,0.0482,0.00426,0.0708,0.795,122.029,223547,4
296,Girls Like (feat. Zara Larsson),Tinie Tempah,0.916,0.804,0,-3.406,1,0.049,0.37,1.18e-05,0.0812,0.538,120.028,196000,4
297,Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,235545,4
298,The Git Up,Blanco Brown,0.847,0.678,9,-8.635,1,0.109,0.0669,0.0,0.274,0.811,97.984,200594,4
299,Give It Away,Filatov & Karas,0.785,0.802,10,-5.986,0,0.0733,0.0901,0.00366,0.186,0.524,121.953,207500,4
300,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252307,4
301,Give Me Your Love,Sigala,0.633,0.947,2,-2.332,1,0.0354,0.00458,3.96e-05,0.341,0.683,124.973,207280,4
302,Give Me Your Love (feat. Nile Rodgers),Sigala,0.635,0.945,2,-2.298,1,0.036,0.00411,2.41e-05,0.314,0.686,125.024,209014,4
303,Give Me Your Love (feat. Nile Rodgers) - Tough Love Remix,Sigala,0.701,0.743,11,-5.622,0,0.0331,8.13e-05,0.303,0.0338,0.61,124.984,339093,4
304,God Is A Dancer (with Mabel),Tiësto,0.774,0.747,1,-3.908,0,0.082,0.0241,6.11e-06,0.342,0.833,119.964,168125,4
305,Gold,Kiiara,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,225882,5
306,Golden,Harry Styles,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4
307,"Gone, Gone, Gone",Phillip Phillips,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,209693,4
308,Goodbye (feat. Nicki Minaj & Willy William),Jason Derulo,0.643,0.904,0,-3.694,1,0.0739,0.0776,0.0,0.189,0.481,103.028,195419,4
309,Goodbyes (Feat. Young Thug),Post Malone,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,4
310,Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4
311,Good For You,Selena Gomez,0.607,0.673,5,-6.484,0,0.0611,0.181,0.0,0.069,0.215,88.952,221280,4
312,Good Life,OneRepublic,0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,253307,4
313,Good Life (with G-Eazy & Kehlani),G-Eazy,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,225520,4
314,Good Time,Owl City,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4
315,Good To Be Alive (Hallelujah),Andy Grammer,0.797,0.896,5,-3.678,1,0.0512,0.0349,0.0,0.635,0.685,120.037,189098,4
317,Got U (Ready or Not),Kokab,0.648,0.832,6,-6.343,0,0.0795,8.76e-05,5.18e-05,0.645,0.392,114.961,192041,4
318,Graveyard,Halsey,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4
319,The Great Alone,Jack Be,0.521,0.765,10,-6.694,1,0.507,0.657,0.0,0.117,0.513,146.933,214873,4
320,The Greatest,Sia,0.639,0.785,10,-6.167,0,0.174,0.0174,0.00107,0.0512,0.686,191.95,210920,4
321,The Greatest Show,Various Artists,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,302147,4
322,Green Light,Lorde,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653,4
323,Habits (Stay High),Tove Lo,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,209160,4
324,Half Light,BANNERS,0.532,0.392,10,-7.502,1,0.0289,0.816,0.0,0.122,0.352,151.879,185947,4
325,Halfway (feat. Twan Ray),Yves V,0.739,0.639,10,-6.838,0,0.0299,0.168,0.0238,0.212,0.303,121.962,158417,4
326,Hall of Fame (feat. will.i.am),The Script,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4
327,Hallucinate,Dua Lipa,0.627,0.69,10,-5.396,0,0.139,0.033,0.0,0.0742,0.627,122.053,208505,4
328,Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,4
329,HandClap,Fitz and The Tantrums,0.636,0.836,8,-3.004,1,0.0427,0.00609,0.000157,0.0828,0.715,139.956,193253,4
330,Hands To Myself,Selena Gomez,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,200680,4
331,Hands Up (feat. DNCE),Merk & Kremont,0.755,0.725,4,-2.877,0,0.0673,0.115,0.0,0.16,0.558,107.996,165785,4
332,Hangover,Dynoro,0.757,0.719,5,-8.029,1,0.0646,0.0253,0.0113,0.252,0.155,128.007,142515,4
333,Hangover,Taio Cruz,0.606,0.883,3,-3.243,1,0.0423,0.00872,0.0,0.0698,0.608,128.053,244907,4
334,Happier,Ed Sheeran,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,207520,4
335,Happier,Marshmello,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
336,Happy Birthday (feat. John Legend),Kygo,0.596,0.576,3,-7.636,1,0.103,0.31,0.0,0.112,0.159,107.963,250467,4
337,"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,4
338,Happy Now,Kygo,0.693,0.575,9,-6.998,1,0.0801,0.374,0.0,0.252,0.492,117.999,211362,4
339,Harder (with Bebe Rexha),Jax Jones,0.906,0.833,5,-3.027,0,0.0729,0.0899,0.0,0.154,0.752,104.017,159760,4
340,Harlem Shake,Baauer,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664,4
341,Hateful Love,Little Big,0.399,0.743,7,-7.244,1,0.0395,0.00699,0.0823,0.0868,0.397,170.022,203344,4
342,Hate Me,Ellie Goulding,0.658,0.791,8,-4.66,1,0.0512,0.102,0.0,0.139,0.744,75.017,186227,4
343,Havana,Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4
344,Have You Never Been Mellow,Keanu Silva,0.691,0.928,10,-4.525,0,0.25,0.132,0.000134,0.619,0.294,128.015,147742,4
345,Head & Heart (feat. MNEK),Joel Corry,0.732,0.874,8,-3.158,1,0.0662,0.168,1.17e-05,0.0489,0.905,122.961,166028,4
346,Heading Home,Alan Walker,0.73,0.789,10,-3.982,1,0.034,0.0269,0.0,0.129,0.106,107.981,184889,4
347,Headlights (feat. Ilsey),Robin Schulz,0.597,0.685,11,-6.371,1,0.0367,0.0245,0.000335,0.182,0.369,122.002,209208,4
348,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,156960,4
349,Heart Attack,Demi Lovato,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,210840,4
350,Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,0.843,0.881,9,-3.951,1,0.0581,0.14,0.0,0.0765,0.876,110.621,202267,4
351,Hearts Like Ours,The Naked And Famous,0.372,0.667,6,-6.315,0,0.0305,4.11e-05,0.109,0.0844,0.151,177.901,272053,4
352,Heathens,Twenty One Pilots,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,4
353,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",Calvin Harris,0.786,0.735,0,-4.502,0,0.0495,0.362,0.0,0.176,0.747,110.124,229640,4
354,Heatwave (feat. Akon),Robin Schulz,0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936,187126,4
355,Heaven,Avicii,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262,4
356,Heaven - David Guetta & MORTEN Remix,Avicii,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238,4
357,Heaven On My Mind (with Sigala),Becky Hill,0.71,0.891,0,-3.116,0,0.0749,0.0313,0.0,0.365,0.705,125.024,192573,4
358,Helium (Sia vs. David Guetta & Afrojack),Sia,0.542,0.587,4,-6.145,1,0.035,0.0977,0.0,0.2,0.243,136.915,237372,4
359,Hello,Martin Solveig,0.666,0.93,3,-4.201,1,0.0314,0.0257,0.012,0.054,0.461,127.978,281430,4
360,Hello,Adele,0.47,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98,295502,4
361,Here,Alessia Cara,0.376,0.822,0,-3.974,1,0.104,0.0783,0.0,0.0841,0.327,120.493,199453,4
362,Here for You (feat. Ella Henderson),Kygo,0.68,0.772,10,-5.995,1,0.0416,0.535,0.0153,0.147,0.376,105.005,244510,4
363,Here With Me,Marshmello,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347,4
364,Heroes,Måns Zelmerlöw,0.484,0.791,7,-4.27,1,0.0437,0.0743,0.0,0.0491,0.369,124.008,190613,4
365,Heroes (we could be),Alesso,0.503,0.748,5,-4.124,1,0.0619,0.0305,0.0,0.343,0.356,125.896,210013,4
366,Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024,234453,4
367,Hey Boy,Sia,0.572,0.623,8,-4.828,1,0.176,0.0544,0.0,0.0865,0.594,185.812,149469,4
368,Hey Brother,Avicii,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,255093,4
369,Hey DJ - Remix,CNCO,0.564,0.89,5,-4.286,1,0.107,0.0918,0.0,0.0819,0.636,180.112,189363,4
370,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,192560,4
371,Hey Porsche,Nelly,0.726,0.795,9,-4.653,1,0.029,0.136,0.0,0.698,0.952,115.995,209467,4
372,"Hey, Soul Sister",Train,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03,216667,4
373,Hey Ya!,Outkast,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4
374,Hideaway,Kiesza,0.838,0.72,7,-4.135,0,0.0483,0.0862,0.00696,0.0772,0.203,122.993,251987,4
375,High And Low,Empire of the Sun,0.512,0.768,1,-4.673,1,0.045,0.0213,3.2e-06,0.0918,0.322,126.907,224840,4
376,Higher,Taio Cruz,0.672,0.907,8,-5.069,0,0.0721,0.0048,3.4e-05,0.156,0.746,128.027,187627,4
377,Higher (Glaceo RMX),Pola Rise,0.655,0.645,8,-7.74,0,0.11,0.266,0.0,0.272,0.312,92.934,187903,4
378,Higher Ground (feat. John Martin),Martin Garrix,0.442,0.619,1,-5.28,1,0.0321,0.0841,0.0,0.0889,0.382,128.318,206279,4
379,Higher Love,Kygo,0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,228267,4
380,High Hopes,Panic! At The Disco,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4
381,The Hills,The Weeknd,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4
382,Him & I (with Halsey),G-Eazy,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,268867,4
383,Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,218093,4
384,History,One Direction,0.655,0.699,11,-4.421,1,0.0493,0.0352,0.0,0.064,0.802,86.704,187427,4
385,Hit It,American Authors,0.639,0.914,7,-3.661,1,0.0931,0.00226,0.0,0.513,0.75,120.07,207453,4
386,Ho Hey,The Lumineers,0.682,0.471,0,-9.182,1,0.0301,0.765,0.0,0.0908,0.421,79.907,163133,4
387,Hold Back The River,James Bay,0.715,0.715,5,-7.364,1,0.0902,0.0526,0.0,0.0936,0.507,134.922,238747,4
388,Hold Me While You Wait,Lewis Capaldi,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,205687,4
389,Hold My Girl,George Ezra,0.614,0.527,10,-6.374,1,0.0302,0.597,0.0,0.11,0.354,121.941,211764,4
390,Hold My Hand,Jess Glynne,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.431,122.977,227344,4
391,Hold On - Remix,Chord Overstreet,0.75,0.808,2,-6.123,1,0.0346,0.151,1.25e-05,0.107,0.424,119.989,188133,4
392,Hold The Line (feat. A R I Z O N A),Avicii,0.648,0.554,9,-7.005,1,0.0341,0.329,2.56e-05,0.0803,0.372,98.045,171786,4
393,Hold You - Radio Edit,Basto,0.657,0.726,1,-7.394,0,0.0348,0.0938,0.269,0.0717,0.824,128.023,187500,4
394,Hollywood,LA Vision,0.744,0.793,7,-6.02,0,0.0291,0.00851,0.000231,0.363,0.325,116.0,199655,4
395,Home,Phillip Phillips,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4
396,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,0.653,0.718,3,-5.232,0,0.213,0.00413,0.0,0.0537,0.216,82.034,202805,4
397,"Honey, I'm Good",Andy Grammer,0.754,0.799,9,-6.419,1,0.0553,0.0289,0.0,0.351,0.582,122.037,199667,4
398,Honeypie,JAWNY,0.74,0.688,5,-4.361,0,0.0916,0.061,0.0,0.138,0.935,115.035,135581,4
399,Hope,The Chainsmokers,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,180120,4
400,Hot2Touch,Felix Jaehn,0.751,0.718,1,-5.289,0,0.0404,0.000754,3.23e-05,0.155,0.854,121.993,160826,4
401,Hotline Bling,Drake,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067,4
402,Hot Right Now (feat. RITA ORA) - Radio Edit,DJ Fresh,0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,182333,4
403,Hotter Than Hell,Dua Lipa,0.532,0.868,3,-4.23,0,0.0908,0.011,0.0,0.0584,0.529,110.127,187958,4
404,House Party - Radio Edit,DJ Antoine,0.643,0.861,10,-5.21,0,0.0566,0.0874,0.0,0.0991,0.802,127.966,206794,4
405,How Deep Is Your Love,Calvin Harris,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,212640,4
406,How Long,Charlie Puth,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,200853,4
407,How to Be a Heartbreaker,MARINA,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05,221493,4
408,How to Love (feat. Sofia Reyes),Cash Cash,0.673,0.894,0,-2.73,1,0.0594,0.148,3.4e-06,0.141,0.63,118.894,219240,4
